Context,Price,Time Stamp,Who Said It
Estimated cost of Idaho Street Bicycle Boulevard improvements.,$1.37 million,1:03:30,City Employee 
Estimated cost of traffic calming measures on Fremont Street corridor.,$1.32 million,1:05:30,City Employee 
Street lighting upgrade cost for Fremont Street corridor.,"$47,500 ",1:06:30,City Employee 
Street lighting upgrades cost for Idaho Street corridor.,"$40,500 ",1:06:00,City Employee 
Street lighting on the entire Humboldt Street corridor.,"$94,000 ",1:06:00,City Employee 
Money spent on protected left turn project at Poplar and Humboldt intersection,$1 million,1:11:00,City Employee 
Anticipated cost to add protections to more intersections on Humboldt.,$1 million,1:11:00,City Employee 
"Estimated cost of ""Alternative One"": Keep bike lane as-is.",$0 ,1:16:00,City Employee
"Estimated cost of ""Alternative Two"": Humboldt Street calming measures, lighting upgrades, and parking permit program.","$295,000 ",1:17:30,City Employee 
"Estimated cost of ""Alternative Three"": Bike boulevard on Idaho Street, parking restoration, and street lighting upgrades.",$1.773 million,1:18:00,City Employee 
"Estimated cost of ""Alternative Four"": Bike boulevard on Fremont Street, parking restoration, and street lighting upgrades.",$1.773 million,1:18:00,City Employee 
The city's projected deficit for the next year.,$14 million,1:31:00,Public Comment 
The city's capital budget backlog.,$300 million,1:31:00,Public Comment 
Hypothetical funding amount for fixing up the King Center.,$1.7 million,1:53:00,Public Comment 
The city's current deficit.,$10 to $15 million,1:56:30,Public Comment 
Proposed spending to remove recently installed infrastructure.,More than $1 million,2:40:30,Public Comment 
Amount of money that would be paid back if the bike lane was removed. ,About $290000,2:53:00,City Employee
Total city reserve fund balance at end of last fiscal year., $117 million,2:56:00,City Employee
Estimated cost to convert Humboldt Street into a one-way facility.,Over $10 million,3:04:30,City Employee
Estimated cost of a feasibility analysis on a permit-parking program or one-way street.,"Over $100,000",3:59:00,City Employee
